data,descricao,categoria,valor,tipo
2026-06-01,Cartão Bradesco - 37212548nicolas,Compras,4.99,saida
2026-06-01,Cartão Bradesco - 57008951matheus 1/4,Compras,537.00,saida
2026-06-01,Cartão Bradesco - Apple.com/bill,Assinaturas,19.90,saida
2026-06-01,Cartão Bradesco - Auto Posto Osternack,Transporte,50.00,saida
2026-06-01,Cartão Bradesco - Auto Posto Osternack,Transporte,60.00,saida
2026-06-01,Cartão Bradesco - Auto Posto Osternack,Transporte,100.00,saida
2026-06-01,Cartão Bradesco - Bonsai Editora e Comer 10/12,Compras,112.00,saida
2026-06-01,Cartão Bradesco - Btc batel business,Transporte,8.00,saida
2026-06-01,Cartão Bradesco - Cacau Show 2/3,Alimentação,86.65,saida
2026-06-01,Cartão Bradesco - Carol Cosméticos 2/2,Compras,79.95,saida
2026-06-01,Cartão Bradesco - Carol Cosméticos 2/2,Compras,90.00,saida
2026-06-01,Cartão Bradesco - Condor Super Center,Alimentação,17.99,saida
2026-06-01,Cartão Bradesco - Cred Valor Desagio,Cartão de Crédito,-569.88,saida
2026-06-01,Cartão Bradesco - Daiso brasil Shopping,Compras,80.97,saida
2026-06-01,Cartão Bradesco - Dlcypizzaria,Alimentação,90.00,saida
2026-06-01,Cartão Bradesco - Dom Comercio D 5/10,Compras,350.00,saida
2026-06-01,Cartão Bradesco - Em2 comercio de alimen,Alimentação,135.00,saida
2026-06-01,Cartão Bradesco - Encargos sobre Parcelad 3/8,Cartão de Crédito,205.45,saida
2026-06-01,Cartão Bradesco - Encargos sobre Parcelad 4/8,Cartão de Crédito,178.75,saida
2026-06-01,Cartão Bradesco - Encargos sobre Parcelad 5/8,Cartão de Crédito,149.42,saida
2026-06-01,Cartão Bradesco - Encargos sobre Parcelad 6/8,Cartão de Crédito,117.17,saida
2026-06-01,Cartão Bradesco - Encargos sobre Parcelad 7/8,Cartão de Crédito,81.74,saida
2026-06-01,Cartão Bradesco - Encargos sobre Parcelad 8/8,Cartão de Crédito,42.80,saida
